SI,Emoji Unicode,Emoji Name,Emoji Character
304,U+1F1F5-U+1F1F2,:St._Pierre_&_Miquelon:,🇵🇲
305,U+1F1FB-U+1F1E8,:St._Vincent_&_Grenadines:,🇻🇨
306,U+1F5FD,:Statue_of_Liberty:,🗽
307,U+1F1F8-U+1F1E9,:Sudan:,🇸🇩
308,U+1F1F8-U+1F1F7,:Suriname:,🇸🇷
309,U+1F1F8-U+1F1EF,:Svalbard_&_Jan_Mayen:,🇸🇯
310,U+1F1F8-U+1F1EA,:Sweden:,🇸🇪
311,U+1F1E8-U+1F1ED,:Switzerland:,🇨🇭
312,U+1F1F8-U+1F1FE,:Syria:,🇸🇾
313,U+1F1F8-U+1F1F9,:São_Tomé_&_Príncipe:,🇸🇹
314,U+1F996,:T-Rex:,🦖
315,U+1F51D,:TOP_arrow:,🔝
316,U+1F1F9-U+1F1FC,:Taiwan:,🇹🇼
317,U+1F1F9-U+1F1EF,:Tajikistan:,🇹🇯
318,U+1F1F9-U+1F1FF,:Tanzania:,🇹🇿
319,U+2649,:Taurus:,♉
320,U+1F1F9-U+1F1ED,:Thailand:,🇹🇭
321,U+1F1F9-U+1F1F1,:Timor-Leste:,🇹🇱
322,U+1F1F9-U+1F1EC,:Togo:,🇹🇬
323,U+1F1F9-U+1F1F0,:Tokelau:,🇹🇰
324,U+1F5FC,:Tokyo_tower:,🗼
325,U+1F1F9-U+1F1F4,:Tonga:,🇹🇴
326,U+1F1F9-U+1F1F9,:Trinidad_&_Tobago:,🇹🇹
327,U+1F1F9-U+1F1E6,:Tristan_da_Cunha:,🇹🇦
328,U+1F1F9-U+1F1F3,:Tunisia:,🇹🇳
329,U+1F1F9-U+1F1F2,:Turkmenistan:,🇹🇲
330,U+1F1F9-U+1F1E8,:Turks_&_Caicos_Islands:,🇹🇨
331,U+1F1F9-U+1F1FB,:Tuvalu:,🇹🇻
332,U+1F1F9-U+1F1F7,:Türkiye:,🇹🇷
333,U+1F1FA-U+1F1F2,:U.S._Outlying_Islands:,🇺🇲
334,U+1F1FB-U+1F1EE,:U.S._Virgin_Islands:,🇻🇮
335,U+1F199,:UP!_button:,🆙
